word,frequency,zipf_score,doc_frequency,doc_ratio,corpus_importance,domain_specificity
petitions,66,3.43,21,0.14,0.0164,2.6939
entries,66,4.09,14,0.093,0.0164,1.5061
discharge,66,3.93,24,0.16,0.0164,2.687
mineral,65,4.03,4,0.027,0.0162,0.4301
merits,65,3.67,37,0.247,0.0162,4.3688
mines,65,4.18,5,0.033,0.0162,0.5183
fixation,65,3.27,10,0.067,0.0162,1.3252
kaur,65,2.86,5,0.033,0.0162,0.7576
reads,64,4.25,34,0.227,0.0159,3.4133
informed,64,4.45,37,0.247,0.0159,3.5476
deed,64,3.75,16,0.107,0.0159,1.8204
auction,64,4.27,10,0.067,0.0159,0.9992
aspect,64,4.41,40,0.267,0.0159,3.87
categories,64,4.31,12,0.08,0.0159,1.1879
kumar,63,3.66,27,0.18,0.0157,3.0984
scope,63,4.26,40,0.267,0.0157,3.9437
inference,63,3.25,34,0.227,0.0157,4.3938
mere,63,4.13,40,0.267,0.0157,4.0678
colleges,62,4.25,6,0.04,0.0154,0.5835
arise,62,3.93,42,0.28,0.0154,4.4173
wages,62,4.25,16,0.107,0.0154,1.5561
idol,62,3.94,3,0.02,0.0154,0.3147
pursuant,62,3.56,36,0.24,0.0154,4.1798
dealt,62,4.2,35,0.233,0.0154,3.4444
fisheries,62,3.69,5,0.033,0.0154,0.5601
refer,62,4.45,35,0.233,0.0154,3.2509
subsequent,62,4.39,37,0.247,0.0154,3.4837
tada,61,2.56,3,0.02,0.0152,0.4766
mills,61,4.22,16,0.107,0.0152,1.5419
transactions,61,4.22,13,0.087,0.0152,1.2528
settled,61,4.44,36,0.24,0.0152,3.2973
crop,61,4.15,11,0.073,0.0152,1.0779
occurrence,60,3.77,15,0.1,0.0149,1.5915
executed,60,4.27,23,0.153,0.0149,2.1546
valid,60,4.38,40,0.267,0.0149,3.653
arbitrator,60,2.98,10,0.067,0.0149,1.3423
contentions,60,2.26,32,0.213,0.0149,5.6637
exhibit,60,4.16,16,0.107,0.0149,1.5385
khader,59,1.81,3,0.02,0.0147,0.6519
villages,59,4.17,5,0.033,0.0147,0.4716
conferred,59,3.38,37,0.247,0.0147,4.3057
obtained,58,4.49,35,0.233,0.0144,3.0141
arises,58,3.61,47,0.313,0.0144,5.0342
hereinafter,58,2.95,47,0.313,0.0144,6.1605
validity,58,3.7,33,0.22,0.0144,3.4486
constitutional,58,4.33,19,0.127,0.0144,1.6967
assessment,58,4.46,22,0.147,0.0144,1.9073
interfere,58,3.88,20,0.133,0.0144,1.9931
mukhtiar,57,1.05,3,0.02,0.0142,1.0857
subsequently,57,4.23,38,0.253,0.0142,3.4137
questioned,57,4.02,25,0.167,0.0142,2.3632
sarkar,57,2.92,5,0.033,0.0142,0.6507
identification,57,4.18,7,0.047,0.0142,0.6364
revisional,57,1.45,8,0.053,0.0142,2.0966
infosys,57,2.52,3,0.02,0.0142,0.4524
affidavit,56,3.38,17,0.113,0.0139,1.8777
clauses,56,3.44,20,0.133,0.0139,2.1705
fir,56,3.48,20,0.133,0.0139,2.1456
offender,56,3.7,12,0.08,0.0139,1.2108
seniority,56,3.16,10,0.067,0.0139,1.1814
indicated,55,4.34,38,0.253,0.0137,3.2104
approver,55,1.67,3,0.02,0.0137,0.6587
lease,55,4.17,14,0.093,0.0137,1.231
kerala,55,3.53,17,0.113,0.0137,1.7658
revised,55,4.14,11,0.073,0.0137,0.9742
manufacturers,55,4.35,6,0.04,0.0137,0.5057
anr,54,2.23,32,0.213,0.0134,5.1659
sukhbir,54,1.57,3,0.02,0.0134,0.6879
aar,54,2.62,3,0.02,0.0134,0.4122
explanation,54,4.44,36,0.24,0.0134,2.9189
managing,54,4.4,12,0.08,0.0134,0.9818
manufacturer,54,4.21,7,0.047,0.0134,0.5986
representation,54,4.34,20,0.133,0.0134,1.659
justified,54,4.02,37,0.247,0.0134,3.3134
kay,54,3.93,3,0.02,0.0134,0.2748
duties,54,4.32,29,0.193,0.0134,2.4167
stating,53,4.15,33,0.22,0.0132,2.8096
directing,53,3.9,32,0.213,0.0132,2.8991
prakashi,53,0.0,3,0.02,0.0132,1.06
ipab,53,1.28,3,0.02,0.0132,0.8281
regards,53,4.2,38,0.253,0.0132,3.1968
raleigh,53,3.59,3,0.02,0.0132,0.2953
indicate,52,4.35,36,0.24,0.0129,2.869
meghraj,52,0.0,3,0.02,0.0129,1.04
ordinary,52,4.42,21,0.14,0.0129,1.6471
doctrine,52,3.98,13,0.087,0.0129,1.1323
aeco,52,1.07,3,0.02,0.0129,0.972
examine,52,4.18,34,0.227,0.0129,2.8198
receipt,52,3.92,34,0.227,0.0129,3.0068
modesty,52,3.24,3,0.02,0.0129,0.321
episodes,52,4.43,3,0.02,0.0129,0.2348
calcutta,52,3.52,16,0.107,0.0129,1.5758
recovered,51,4.25,32,0.213,0.0127,2.56
belonging,51,4.05,33,0.22,0.0127,2.7704
electricity,51,4.43,16,0.107,0.0127,1.228
bhimabai,51,0.0,3,0.02,0.0127,1.02
legislature,51,4.16,19,0.127,0.0127,1.5529
whereas,50,4.41,33,0.22,0.0124,2.4943
industries,50,4.42,13,0.087,0.0124,0.9804
distinction,50,4.1,35,0.233,0.0124,2.8455
observations,50,4.02,28,0.187,0.0124,2.3217
commit,50,4.33,24,0.16,0.0124,1.8476
imposed,50,4.16,32,0.213,0.0124,2.5641
bearing,50,4.22,31,0.207,0.0124,2.4487
petitioner,49,2.86,19,0.127,0.0122,2.1702
concurrent,49,3.49,16,0.107,0.0122,1.4976
guilt,49,4.13,16,0.107,0.0122,1.2655
madras,49,3.38,25,0.167,0.0122,2.4162
violation,49,4.15,17,0.113,0.0122,1.3382
allegedly,49,4.06,23,0.153,0.0122,1.8506
allotment,49,3.13,7,0.047,0.0122,0.7306
agricultural,49,4.34,26,0.173,0.0122,1.957
preceding,49,3.74,21,0.14,0.0122,1.8342
interim,49,4.0,23,0.153,0.0122,1.8783
merit,49,4.08,21,0.14,0.0122,1.6814
pardon,49,3.82,3,0.02,0.0122,0.2565
nath,49,2.84,14,0.093,0.0122,1.6103
employed,48,4.42,24,0.16,0.012,1.7376
limitation,48,3.71,21,0.14,0.012,1.8113
nadu,48,3.22,10,0.067,0.012,0.9938
tamil,48,3.76,10,0.067,0.012,0.8511
literary,48,4.31,3,0.02,0.012,0.2227
meerut,48,2.45,4,0.027,0.012,0.5224
shashi,47,2.57,3,0.02,0.0117,0.3658
viz,47,3.19,30,0.2,0.0117,2.9467
temporary,47,4.48,13,0.087,0.0117,0.9092
dramatic,47,4.41,3,0.02,0.0117,0.2132
crops,47,4.05,4,0.027,0.0117,0.3095
expressly,47,3.48,28,0.187,0.0117,2.5211
reliance,47,3.81,32,0.213,0.0117,2.6317
wound,47,4.24,7,0.047,0.0117,0.5173
undertaking,47,3.72,27,0.18,0.0117,2.2742
rauji,47,0.0,3,0.02,0.0117,0.94
jagirdar,47,1.05,3,0.02,0.0117,0.8952
sheela,47,1.93,3,0.02,0.0117,0.487
maintainable,47,2.21,17,0.113,0.0117,2.4103
sen,47,4.01,7,0.047,0.0117,0.547
assaulted,46,3.75,9,0.06,0.0115,0.736
thereby,46,4.03,31,0.207,0.0115,2.359
expenses,46,4.33,17,0.113,0.0115,1.204
substance,46,4.23,26,0.173,0.0115,1.8849
exemption,46,3.65,6,0.04,0.0115,0.5041
discretion,46,3.9,26,0.173,0.0115,2.0444
substantial,46,4.33,32,0.213,0.0115,2.2664
requisition,46,2.69,11,0.073,0.0115,1.254
granting,46,3.68,23,0.153,0.0115,1.9167
determining,46,3.97,22,0.147,0.0115,1.6994
submissions,45,3.71,26,0.173,0.0112,2.1024
furthermore,45,4.23,22,0.147,0.0112,1.5603
omission,45,3.3,14,0.093,0.0112,1.2727
amounts,45,4.41,16,0.107,0.0112,1.0884
complainant,45,3.09,14,0.093,0.0112,1.3592
challenged,44,4.09,27,0.18,0.011,1.9364
abolition,44,3.51,9,0.06,0.011,0.7521
designated,44,4.25,6,0.04,0.011,0.4141
constitute,44,3.85,28,0.187,0.011,2.1333
arising,44,3.72,27,0.18,0.011,2.129
submission,44,4.07,24,0.16,0.011,1.7297
proceed,44,4.18,32,0.213,0.011,2.2456
enable,44,4.3,34,0.227,0.011,2.3194
penal,44,3.46,24,0.16,0.011,2.0347
tenants,44,3.88,9,0.06,0.011,0.6804
hai,44,3.57,4,0.027,0.011,0.3287
crores,44,3.1,6,0.04,0.011,0.5677
contrary,43,4.17,34,0.227,0.0107,2.3373
administrative,43,4.45,15,0.1,0.0107,0.9663
retrospective,43,3.48,14,0.093,0.0107,1.1533
permissible,43,3.2,31,0.207,0.0107,2.7771
supplied,43,4.24,22,0.147,0.0107,1.4874
allotted,43,3.28,12,0.08,0.0107,1.0488
jain,43,3.09,10,0.067,0.0107,0.9277
contractor,43,4.08,6,0.04,0.0107,0.4216
assignment,43,4.18,11,0.073,0.0107,0.7544
forests,43,4.07,9,0.06,0.0107,0.6339
thereon,43,2.77,20,0.133,0.0107,2.0698
manufacture,43,3.98,17,0.113,0.0107,1.2245
jointly,42,3.78,16,0.107,0.0105,1.1852
interpretation,42,4.22,29,0.193,0.0105,1.9242
obtain,42,4.4,28,0.187,0.0105,1.7818
assault,42,4.44,12,0.08,0.0105,0.7568
requested,42,4.33,26,0.173,0.0105,1.6813
burden,42,4.23,17,0.113,0.0105,1.1253
acted,42,4.28,26,0.173,0.0105,1.7009
wherein,42,3.78,25,0.167,0.0105,1.8519
assessee,42,2.12,6,0.04,0.0105,0.7925
prevention,42,4.28,21,0.14,0.0105,1.3738
disputed,42,3.76,27,0.18,0.0105,2.0106
quantum,42,4.07,19,0.127,0.0105,1.3071
testator,41,2.12,6,0.04,0.0102,0.7736
mamlatdar,41,0.0,4,0.027,0.0102,1.0933
estoppel,41,2.27,6,0.04,0.0102,0.7225
instant,41,4.34,26,0.173,0.0102,1.6375
manufactured,41,4.13,14,0.093,0.0102,0.9266
admittedly,41,3.54,31,0.207,0.0102,2.3936
yeh,41,3.32,3,0.02,0.0102,0.247
knife,41,4.41,9,0.06,0.0102,0.5578
zindagi,41,2.21,3,0.02,0.0102,0.371
institution,41,4.41,16,0.107,0.0102,0.9917
construed,41,3.29,20,0.133,0.0102,1.6616
divisional,41,3.27,15,0.1,0.0102,1.2538
constituted,41,3.58,31,0.207,0.0102,2.3669
payments,41,4.48,14,0.093,0.0102,0.8542
grounds,41,4.43,28,0.187,0.0102,1.7276
pvt,41,3.16,21,0.14,0.0102,1.8165
complaint,41,4.32,25,0.167,0.0102,1.5818
proceeded,40,3.87,23,0.153,0.01,1.5848
ordinarily,40,3.26,27,0.18,0.01,2.2086
factual,40,3.61,22,0.147,0.01,1.6251
corruption,40,4.35,8,0.053,0.01,0.4904
infringement,40,3.61,17,0.113,0.01,1.2558
improvements,40,4.27,4,0.027,0.01,0.2498
municipal,40,4.24,14,0.093,0.01,0.8805
declaration,40,4.1,25,0.167,0.01,1.626
employer,40,4.22,14,0.093,0.01,0.8847
acres,40,4.17,16,0.107,0.01,1.0232
preliminary,40,4.16,16,0.107,0.01,1.0256
belonged,39,4.01,19,0.127,0.0097,1.2319
argued,39,4.36,17,0.113,0.0097,1.0138
strictly,39,4.16,28,0.187,0.0097,1.75
para,39,3.85,24,0.16,0.0097,1.6208
probation,39,3.79,3,0.02,0.0097,0.2058
tripathi,39,2.33,3,0.02,0.0097,0.3348
cancelled,39,4.22,22,0.147,0.0097,1.3555
illom,39,0.0,3,0.02,0.0097,0.78
remedy,38,3.82,17,0.113,0.0095,1.1274
tribunals,38,3.08,10,0.067,0.0095,0.8225
objections,38,3.69,20,0.133,0.0095,1.3731
undergone,38,3.58,15,0.1,0.0095,1.0615
dues,38,3.38,5,0.033,0.0095,0.3748
incriminating,38,3.03,15,0.1,0.0095,1.2541
intent,38,4.28,24,0.16,0.0095,1.4206
commencement,38,3.48,24,0.16,0.0095,1.7471
affiliation,38,3.63,3,0.02,0.0095,0.2094
arbitrary,38,3.85,11,0.073,0.0095,0.7238
sentenced,38,4.09,20,0.133,0.0095,1.2388
securities,38,4.24,3,0.02,0.0095,0.1792
inconsistent,38,3.79,19,0.127,0.0095,1.27
twelve,37,4.35,9,0.06,0.0092,0.5103
implied,37,3.93,27,0.18,0.0092,1.6947
advocate,37,4.21,21,0.14,0.0092,1.2304
prejudice,37,3.79,15,0.1,0.0092,0.9763
particulars,37,3.17,16,0.107,0.0092,1.245
similarly,37,4.3,24,0.16,0.0092,1.3767
nagendra,37,1.52,5,0.033,0.0092,0.8114
detaining,37,2.75,3,0.02,0.0092,0.2691
vacancies,37,3.49,9,0.06,0.0092,0.6361
adverse,37,3.89,12,0.08,0.0092,0.7609
recruits,37,3.68,3,0.02,0.0092,0.2011
minority,36,4.41,3,0.02,0.009,0.1633
consistent,36,4.48,25,0.167,0.009,1.3393
consent,36,4.36,28,0.187,0.009,1.5413
circumstance,36,3.66,22,0.147,0.009,1.4426
undergo,36,3.81,18,0.12,0.009,1.1339
bound,36,4.46,30,0.2,0.009,1.6143
fixing,36,4.09,12,0.08,0.009,0.7042
visakhapatnam,36,2.35,9,0.06,0.009,0.9191
fao,36,2.93,3,0.02,0.009,0.2457
ambit,36,2.45,18,0.12,0.009,1.7633
claiming,36,4.33,27,0.18,0.009,1.4965
producer,36,4.44,9,0.06,0.009,0.4865
inasmuch,36,2.87,23,0.153,0.009,1.9233
respective,36,4.19,17,0.113,0.009,0.9737
defines,35,3.86,16,0.107,0.0087,0.9672
obligation,35,4.07,20,0.133,0.0087,1.1466
lessee,35,2.58,4,0.027,0.0087,0.3618
tahsildar,35,1.32,6,0.04,0.0087,1.0606
salary,34,4.36,12,0.08,0.0085,0.6239
redemption,34,3.82,4,0.027,0.0085,0.2373
cogent,34,2.71,23,0.153,0.0085,1.9237
